vendor_id,vendor_key,NAME,company_type,display_name,street_address,state,zip,url,created_date,first_name,last_name,email_address,phone,punch_out_type,direct_pay_fee,cogs_discount
11,427cd7cf-c1fa-4904-8ae2-14b72c690469,"The Navigators Group, Inc.",Enterprise,"The Navigators Group, Inc.",904 Hensley Avenue,District of Columbia,20425,https://squarespace.com/nobis/philosophia/defensa/hoc.gz?recusandae&itaque&earum&rerum&hic,2024-10-21 17:59:00,Gayleen,Everleigh,gayleen.everleigh@yahoo.com,(202) 362-2056,On Call,73.85,73.85
12,3fec3d5d-876d-4dc7-b274-e76eb8c33c07,GasLog LP.,Government,GasLog LP.,2085 Clarks Hill Way,Texas,77030,http://cisco.com/his/rebus/peccant/cum/e/insolens.nrg?oriantur&et&intereant&cotidie,2024-10-21 18:00:32,Burl,Ingraham,burl.ingraham@orange.fr,(832) 947-4044,Lunch,66.28,66.28
13,824fd6de-5d29-40a2-b31c-f4385c166697,"American Capital Senior Floating, Ltd.",Startup,"American Capital Senior Floating, Ltd.",4567 Priscilla Loop,Tennessee,37416,https://4shared.com/illud/ocurreret/si/omnia/periculis.tsv?cum,2024-10-21 18:02:47,Emma,Ferenczi,emma.ferenczi@live.co.uk,(423) 793-5160,Shift Change,68.36,68.36
14,0a330481-f7ce-43a7-b873-9a44c3a36bfb,PolyOne Corporation,Public,PolyOne Corporation,4648 Glenarden Path,Wisconsin,54305,http://scribd.com/legat/nisi/qui/si.docx?,2024-10-21 18:06:31,Violette,Muckian,violette.muckian@live.nl,(920) 677-3465,Late Arrival,79.32,79.32
15,0d20ed56-48e2-4787-9dd3-b865554830d1,"Barnes Group, Inc.",Subsidiary,"Barnes Group, Inc.",5303 San Pedro Drive,Virginia,23514,https://surveymonkey.com/percipi/quos/m.odt?re,2024-10-21 18:10:18,Isacco,Clarae,isacco.clarae@gmail.com,(757) 581-1145,Remote Work,74.50,74.50
16,657e8a1e-0297-4c5e-87a6-1afd8c6f0bcf,U.S. Energy Corp.,Enterprise,U.S. Energy Corp.,13326 Bernwell Court,Texas,77218,https://umn.edu/gubernatoris/ars/quia/permulta.html?reprimique&non,2024-10-21 18:14:28,Ollie,Keese,ollie.keese@live.com.au,(713) 702-7444,On Call,151.50,151.50
17,ff35ec4a-9cea-4756-8dfa-a79626788ace,Delta Technology Holdings Limited,Government,Delta Technology Holdings Limited,1541 Joyce Lane,Minnesota,55470,https://uol.com.br/altera/philosophiae/parte/quae/facta.msh?ne&ipsarum&quidem&virtutum,2024-10-21 18:23:27,Gaynor,Denes,gaynor.denes@hotmail.com,(612) 195-4676,Lunch,46.84,46.84
18,c94aaaef-39b9-4f02-b923-e942dc20f9d2,"ONE Gas, Inc.",Startup,"ONE Gas, Inc.",9824 Langley Loop,Maryland,21705,https://plala.or.jp/ne/illud/quidem/perspicuum/est/gratiam.xml?epicurum,2024-10-21 18:25:22,Devondra,Weedon,devondra.weedon@hotmail.com,(240) 425-3027,Shift Change,129.89,129.89
19,47f0fb52-480c-44b3-a3b0-4695a96a4855,pSivida Corp.,Public,pSivida Corp.,597 Hobbs Court,Pennsylvania,16534,https://si.edu/ne/graecos/quidem/hoc.pfx?rem&aperiam&eaque&ipsa,2024-10-21 18:32:15,Catlaina,Karus,catlaina.karus@gmail.com,(814) 259-9352,Late Arrival,70.48,70.48
20,a1dcee8f-5fd1-44fa-8073-806512de3e54,"Seres Therapeutics, Inc.",Subsidiary,"Seres Therapeutics, Inc.",12672 Stratford Lane,California,95160,https://amazonaws.com/aut/ad/beatam/veserim.ps1?,2024-10-21 18:33:36,Toddy,Pfeffle,toddy.pfeffle@hotmail.com,(408) 496-3777,Remote Work,135.60,135.60
21,c851da6c-22b6-4b96-87c3-83e3e3108b51,Sabre Corporation,Partnership,Sabre Corporation,4431 Jones Lane,North Carolina,28205,https://merriam-webster.com/severa/sit/quibus.ps1xml?placet&inquam&tum&dicere,2024-10-21 18:42:12,Georgie,Arthur,georgie.arthur@yahoo.com,(704) 824-4037,Personal Errand,86.99,86.99
22,cb49f066-be85-4083-bb32-52f32818af79,NIC Inc.,Private,NIC Inc.,7080 Weaton Court,California,93106,https://elpais.com/et/extremum.conf?a&studiis&quamquam&te&quidem,2024-10-21 18:45:51,Vi,Cuddehy,vi.cuddehy@gmail.com,(805) 493-9190,Early Departure,95.97,95.97
23,08ecae27-ccf2-486e-9918-2eb306d23f0f,"Fidelity National Information Services, Inc.",Sole Proprietorship,"Fidelity National Information Services, Inc.",11772 Kananwood Terrace,California,90010,https://networksolutions.com/eo/ne.mds?locum&petentium,2024-10-21 18:51:05,Barnett,Medlar,barnett.medlar@gmail.com,(562) 188-4463,Medical Appointment,135.65,135.65
24,671b0e44-330d-46c7-8109-dff8e55f5380,MSG Networks Inc.,Holding,MSG Networks Inc.,8073 Garner Path,Georgia,31296,https://51.la/molestiam/frustra.xz?,2024-10-21 18:59:08,Bernardine,Smowton,bernardine.smowton@yahoo.com,(478) 170-9175,Overtime End,105.20,105.20
25,40413f56-4f1a-4219-9104-b0d0f7a44bcc,"Vivint Solar, Inc.",Joint Venture,"Vivint Solar, Inc.",13742 Daughtry Court,Alabama,35279,https://geocities.com/provident/similique/sunt/in/culpa/initiis.xls?aut&zenonem,2024-10-21 19:04:58,Tania,Ketteringham,tania.ketteringham@hotmail.fr,(205) 712-8814,Field Visit,142.59,142.59
26,2a50b594-4ab2-4d71-b600-140470f4645a,Alleghany Corporation,Franchise,Alleghany Corporation,4216 Stuck Terrace,Colorado,80910,https://hexun.com/nos/a/solitudo.desktop?satis&acuti&qui,2024-10-21 19:14:12,Flossi,Ruckhard,flossi.ruckhard@hotmail.com,(719) 221-5798,Overtime Start,83.46,83.46
27,37ba605b-d496-46d1-9f71-a5c17a96c6b9,"Photronics, Inc.",Cooperative,"Photronics, Inc.",13896 Iron Oak Way,Texas,77015,https://ibm.com/nisi/in/voluptatis/oblique.xml?quae&naturales&essent&nec,2024-10-21 19:17:43,Renata,Guite,renata.guite@yahoo.com,(713) 081-8200,Meeting,130.08,130.08
28,da8bdc84-e2a6-4ff5-a954-a1a0091d9239,"KalVista Pharmaceuticals, Inc.",Limited Liability,"KalVista Pharmaceuticals, Inc.",3486 Booth Place,Texas,79916,https://nydailynews.com/suscipere/et.pub?illa&qua&est&usus&epicurus,2024-10-21 19:27:03,Veda,Padginton,veda.padginton@yahoo.com,(915) 135-4944,Training,85.47,85.47
29,314f828e-db9b-4ff7-b498-4bd3ad1a9eba,Teledyne Technologies Incorporated,Corporation,Teledyne Technologies Incorporated,2122 Hillstream Street,Virginia,22301,https://cloudflare.com/reprehenderit/qui/in/una/virtute/probes.bmp?voluptatem&nihil,2024-10-21 19:30:08,Glory,Bartkiewicz,glory.bartkiewicz@yahoo.co.uk,(202) 091-9127,Emergency Leave,51.12,51.12
30,0fa6882c-760c-4771-befb-c50fe21d9ea7,"Consolidated Communications Holdings, Inc.",Nonprofit,"Consolidated Communications Holdings, Inc.",11607 Manor Downs,Iowa,50330,https://google.ca/quaedam/et/sed.torrent?fruentem,2024-10-21 19:32:24,Nettie,Shimony,nettie.shimony@gmail.com,(515) 419-3282,Break,120.54,120.54
31,4e4eac61-9ba6-4b22-bf05-ac421b68ca69,Aegon NV,Subsidiary,Aegon NV,14847 Rhapsody Path,California,92145,https://unesco.org/perpetiuntur/esse.tar?claudicare&videatur&itaque,2024-10-21 19:40:21,Kristofor,Mainson,kristofor.mainson@gmail.com,(619) 591-9671,Remote Work,136.99,136.99
32,12cc0a92-9c44-4283-b50b-a2c5c0423372,"Frequency Electronics, Inc.",Partnership,"Frequency Electronics, Inc.",8096 Hanes Avenue,Florida,33345,https://miibeian.gov.cn/faciendum/non/faciendumve/sit/sed/desiderat.xml?videri&solent&tum&torquatus,2024-10-21 19:50:15,Cara,Simonyi,cara.simonyi@msn.com,(754) 342-1251,Personal Errand,104.30,104.30
33,4d6a45af-9a1b-4d80-8cd1-6ca686247e42,Galectin Therapeutics Inc.,Private,Galectin Therapeutics Inc.,9954 Chilton Court,Oregon,97405,https://whitehouse.gov/sunt/voluptatum/tam/amicis/quam/augeri.bz2?doctrina&erudito&defensa&est,2024-10-21 19:56:06,Eba,Linster,eba.linster@hotmail.com,(541) 724-8060,Early Departure,128.97,128.97
34,1c09a51a-afc7-4f9e-af87-18032ff28d51,Medtronic plc,Government,Medtronic plc,8576 Castano Place,Indiana,46857,http://about.me/persecuti/sumus/ut/autem/vivere.nrg?,2024-10-21 20:03:04,Allina,Gingel,allina.gingel@hotmail.com,(260) 884-8087,Lunch,106.54,106.54
35,fff768f6-a0ef-4354-8812-ae8000c77526,ITT Inc.,Sole Proprietorship,ITT Inc.,7095 Bayhill Court,California,90094,https://time.com/tam/multis/tamque/variis/ab/posset.ods?triarium&minus&ab,2024-10-21 20:09:12,Padraic,Bohden,padraic.bohden@hotmail.com,(323) 491-1130,Medical Appointment,96.82,96.82
36,d9cef964-d775-4235-abd4-3db19cadcf4a,Female Health Company (The),Public,Female Health Company (The),2770 Ortega Way,Florida,33064,https://scribd.com/ponatur/sed/sine/hoc/institutionem/ullius.gpg?dolore&caret&id&in&voluptate,2024-10-21 20:14:27,Antonina,Corzor,antonina.corzor@yahoo.com,(561) 422-8537,Late Arrival,74.10,74.10
37,7bae7b16-642b-4b54-b040-5be0ce4a46b2,"Flex Pharma, Inc.",Corporation,"Flex Pharma, Inc.",269 Sevilla Place,Virginia,23242,https://mysql.com/desiderent/qui/autem/si/qui/physicis.js?sentire&possumus&animo,2024-10-21 20:17:06,Kaspar,Faich,kaspar.faich@yahoo.com,(804) 422-7503,Emergency Leave,65.74,65.74
38,1b478b9d-c358-47e5-947e-4068b0e8729d,"BCE, Inc.",Joint Venture,"BCE, Inc.",3589 Iiams Court,Virginia,22156,https://wordpress.org/delectant/est/autem/neque.lnk?exquisitaque&doctrina&philosophi&graeco,2024-10-21 20:18:15,Dwayne,Ruberti,dwayne.ruberti@neuf.fr,(571) 624-0839,Field Visit,62.33,62.33
39,7e910e85-89bb-46eb-944f-9976131641c8,"Broadwind Energy, Inc.",Holding,"Broadwind Energy, Inc.",7452 Canova Draney Loop,Florida,33487,https://163.com/ad/aliam/rem/infinito.mp4?quae,2024-10-21 20:21:24,Ode,Wonter,ode.wonter@yandex.ru,(305) 271-6616,Overtime End,99.69,99.69
40,95c30ad9-6961-4295-8d28-95ce59975c63,BlackRock Credit Allocation Income Trust,Cooperative,BlackRock Credit Allocation Income Trust,2124 Tannery Terrace,Georgia,30311,https://tumblr.com/confirmavit/animum/ne/quod/aut/causa.pdf?adest&sentire,2024-10-21 20:26:52,Bastian,Morfey,bastian.morfey@yahoo.com,(770) 466-4643,Meeting,67.16,67.16
41,bbabb9c1-b31f-47c7-8f6b-9bfd2c3f70ac,"Black Stone Minerals, L.P.",Startup,"Black Stone Minerals, L.P.",6212 Berkshire Place,Texas,75231,https://facebook.com/coniunctione/tali/sit/aptius/sit.msh2?atque&haec,2024-10-21 20:29:08,Barri,Slarke,barri.slarke@hotmail.com,(972) 960-1146,Shift Change,93.34,93.34
42,dffc7487-8a6c-4159-b7a4-54d6d1c133db,FlexShares Disciplined Duration MBS Index Fund,Franchise,FlexShares Disciplined Duration MBS Index Fund,11586 Smithfield Place,Kansas,67230,https://scientificamerican.com/error/omnis/imperitorum/aristotelem.htm?mutae&etiam&bestiae&paene&loquuntur,2024-10-21 20:33:51,Veriee,Crohan,veriee.crohan@yahoo.com,(316) 186-3753,Overtime Start,144.65,144.65
43,f5eff6ae-0a9c-4ea5-a24b-a5d749a69a08,CoreSite Realty Corporation,Nonprofit,CoreSite Realty Corporation,3086 Beachwood Street,Florida,33336,https://geocities.jp/dolores/eos/haec.ppt?quidem&locis&pluribus,2024-10-21 20:41:48,Mikel,Giraldez,mikel.giraldez@charter.net,(754) 362-1027,Break,60.44,60.44
44,e931c7f2-afdc-4cbb-b98c-a81da1604066,"Financial Institutions, Inc.",Limited Liability,"Financial Institutions, Inc.",5436 Humphreys Loop,Massachusetts,02104,https://toplist.cz/aliquip/ex/ea/commodi/facta.gz?satis,2024-10-21 20:44:39,Foster,Athersmith,foster.athersmith@googlemail.com,(318) 791-5677,Training,81.24,81.24
45,dae650bb-4343-44ed-be67-62cba2ce1b56,"Amphastar Pharmaceuticals, Inc.",Enterprise,"Amphastar Pharmaceuticals, Inc.",3015 Monument Way,District of Columbia,20546,https://google.co.uk/instituendarum/voluntates/fieri/propter/oratio.ps1?ponit&quod&summum,2024-10-21 20:48:54,Muriel,Ghelardi,muriel.ghelardi@hotmail.com,(202) 938-7326,On Call,69.80,69.80
46,41e8027c-9b45-4b70-860f-35a82232d3b2,Enterprise Products Partners L.P.,Franchise,Enterprise Products Partners L.P.,13648 Seven Oaks Lane,Oregon,97216,https://ow.ly/existunt/saepe/formidines/denique/proposita.keystore?tamque&et&operosam&et,2024-10-21 20:51:42,Floris,Wixon,floris.wixon@yahoo.com,(503) 627-8439,Overtime Start,167.65,167.65
47,2dd079a2-ad2a-4cdd-a858-0d3798d753e0,BorgWarner Inc.,Subsidiary,BorgWarner Inc.,6068 Harter Way,Colorado,80217,https://theglobeandmail.com/autem/voluptatem.cfg?deterritum&quae&cum&dixissem&magis,2024-10-21 21:00:53,Haskel,Diver,haskel.diver@yahoo.com,(303) 803-1052,Remote Work,91.55,91.55
48,e7e63447-9dfa-43e0-83db-7b37302e55ad,American Vanguard Corporation,Corporation,American Vanguard Corporation,14230 Jackson Street,Florida,33310,http://prlog.org/qua/fuissent.pptx?factorum&tum,2024-10-21 21:05:31,Trev,Ishak,trev.ishak@googlemail.com,(754) 409-1559,Emergency Leave,141.90,141.90
49,738131be-ae3e-4aae-8aa5-3b9bc98ce097,"NantHealth, Inc.",Private,"NantHealth, Inc.",11097 Evelynton Loop,Florida,32092,https://youku.com/libro/quem/sic.wav?videntur&leviora&veniamus,2024-10-21 21:15:03,Karee,Sanz,karee.sanz@yahoo.com,(904) 951-8985,Early Departure,122.07,122.07
50,84147794-8ab1-4bf0-b88e-b8974725837f,"ModusLink Global Solutions, Inc",Nonprofit,"ModusLink Global Solutions, Inc",9797 Dalton Drive,Pennsylvania,19146,https://godaddy.com/effici/complexiones/et/quam.rar?plurimum,2024-10-21 21:22:42,Sashenka,Halewood,sashenka.halewood@outlook.com,(215) 669-4806,Break,121.57,121.57
51,a992e774-4ca9-4d0e-91e5-7e7b7e9c473b,Village Bank and Trust Financial Corp.,Holding,Village Bank and Trust Financial Corp.,7741 Everwood Court,Idaho,83206,https://purevolume.com/summum/profecto/desiderabile.ini?,2024-10-21 21:29:34,Joanna,Tranfield,joanna.tranfield@yandex.ru,(208) 010-8461,Overtime End,101.20,101.20
52,938d3732-e855-46bc-8f39-f813ef6dd294,The Carlyle Group L.P.,Cooperative,The Carlyle Group L.P.,11913 Eunice Street,Texas,77085,http://newyorker.com/affecta/secundum/non/recte/si/qui.msh2?et&animo&et&corpore,2024-10-21 21:35:12,Erhart,Wilfing,erhart.wilfing@hotmail.com,(713) 526-0270,Meeting,141.25,141.25
53,832b83dd-fcde-4a28-b875-7a1c1f60c86a,"Rand Logistics, Inc.",Government,"Rand Logistics, Inc.",5526 Duncan Drive,Alabama,35236,https://xrea.com/multi/parentes/civium.odp?illo&inventore&veritatis,2024-10-21 21:43:20,Pavla,Rosenqvist,pavla.rosenqvist@yahoo.com,(205) 859-6461,Lunch,87.65,87.65
54,cd9b13c2-9998-4563-9d09-afc9bfdad9e0,"Windstream Holdings, Inc.",Public,"Windstream Holdings, Inc.",13391 Keel Court,Maryland,20904,https://harvard.edu/vivendi/quodsi.sql?voce&naturae&sic&eam&firme,2024-10-21 21:47:38,Lauren,Pett,lauren.pett@yahoo.com.br,(410) 237-3522,Late Arrival,173.07,173.07
55,1f28b985-7c58-4736-989b-dbf335651957,Bank of Marin Bancorp,Limited Liability,Bank of Marin Bancorp,5200 Roseapple Avenue,Alaska,99522,https://is.gd/homini/possit/melius/esse/quam/res.mds?didicisse&turpe&est&ea&putant,2024-10-21 21:56:40,Bald,Comazzo,bald.comazzo@gmail.com,(907) 646-5947,Training,83.25,83.25
56,e0f53f02-d630-44c0-bee1-0f831ad2363f,"Arrowhead Pharmaceuticals, Inc.",Sole Proprietorship,"Arrowhead Pharmaceuticals, Inc.",10168 Isabelle Place,Pennsylvania,19093,https://flickr.com/ut/perspiciatis/se.gif?maximam,2024-10-21 22:00:47,Selie,Leathart,selie.leathart@hotmail.com,(215) 707-6421,Medical Appointment,121.70,121.70
57,a4581de1-c200-46ce-8f0f-e26db2f87ffb,Mimecast Limited,Enterprise,Mimecast Limited,12083 Grantham Terrace,California,90060,http://nymag.com/doctiores/cives/mei/vestra.xlsx?expectamus,2024-10-21 22:07:53,Perceval,Solly,perceval.solly@yahoo.com,(323) 972-9464,On Call,138.42,138.42
58,dadb639f-34b3-4ba5-85e6-92a13df28fe6,Duke Energy Corporation,Partnership,Duke Energy Corporation,1841 Ibises Court,Iowa,50305,http://netvibes.com/ego/vituperata.jpg?illa&atomorum&in&quo&a,2024-10-21 22:16:07,Anthe,Monnelly,anthe.monnelly@verizon.net,(515) 710-6681,Personal Errand,49.28,49.28
59,ba14073c-a553-4160-ad81-b12eb3b91c82,Telefonica SA,Startup,Telefonica SA,1720 Belton Lane,Texas,79452,https://arstechnica.com/assueverit/iudicabit/nulla/ad/legendum/dolore.tsv?sed&ab&inliberali&labore,2024-10-21 22:18:13,Nilson,Jobes,nilson.jobes@hotmail.com,(806) 040-6599,Shift Change,42.26,42.26
60,a3977a6e-69f7-488d-a993-64fedb90ea57,Atlantic Coast Financial Corporation,Joint Venture,Atlantic Coast Financial Corporation,8726 Fairwinds Place,California,93762,https://businessinsider.com/tum/accusator/tum/iudex/institutionem.msh?sua&comparat&magna&afficitur,2024-10-21 22:20:14,Cynthea,Zukierman,cynthea.zukierman@yahoo.com,(559) 558-6402,Field Visit,110.93,110.93
61,a2dc428e-e23b-4eca-abbb-240e3d1af15f,"Spectrum Pharmaceuticals, Inc.",Sole Proprietorship,"Spectrum Pharmaceuticals, Inc.",1413 Foggy Brook Loop,Florida,33013,https://theglobeandmail.com/nulla/solida/iis.dbx?mors&sensu&careat&dolor,2024-10-21 22:26:28,Siobhan,Caudray,siobhan.caudray@yahoo.fr,(786) 710-8054,Medical Appointment,35.59,35.59
62,57d02338-c852-4854-8a47-9cbfc79db983,Pyxis Tankers Inc.,Enterprise,Pyxis Tankers Inc.,9089 Little Mountain Loop,Texas,75353,https://t.co/voluptate/velit/esse/quam/adhibuit.mds?parum&vidit&deinde&hoc,2024-10-21 22:28:18,Alvina,France,alvina.france@sky.com,(214) 958-0137,On Call,108.89,108.89
63,d41b755f-e45b-4d17-8631-0d8b4d3e428a,"Bridge Bancorp, Inc.",Partnership,"Bridge Bancorp, Inc.",11168 Torres Place,District of Columbia,20392,http://ucsd.edu/omni/re/doloris/cognitionem.htm?nec&optinere&si&effecerit&et,2024-10-21 22:34:45,Ingra,Tax,ingra.tax@yahoo.com,(202) 955-6597,Personal Errand,120.42,120.42
64,3d7d5db6-a353-4a72-84da-a419e6e016c3,Diana Shipping inc.,Startup,Diana Shipping inc.,10544 Lisette Way,Texas,79605,https://reference.com/ut/coercendi/magis/quam/ne.msh2?musicis&geometria,2024-10-21 22:42:27,Tristam,Cornborough,tristam.cornborough@gmail.com,(325) 419-7546,Shift Change,108.35,108.35
65,838de930-a7e7-4c77-8f40-30ae6f358b52,Invesco Plc,Joint Venture,Invesco Plc,7214 Ruiz Court,Arkansas,71914,https://dmoz.org/modo/nec/desistemus.cer?,2024-10-21 22:49:46,Lucius,MacCurley,lucius.maccurley@gmail.com,(501) 251-3648,Field Visit,98.90,98.90
66,bd8d137d-5d4a-4330-89f7-c43b909c5d9c,Tennant Company,Franchise,Tennant Company,2259 Veronica Court,Ohio,44321,https://booking.com/et/ob.docx?sicut&nostrum&triarium,2024-10-21 22:55:05,Grady,Markie,grady.markie@yahoo.co.uk,(330) 248-2481,Overtime Start,39.18,39.18
67,68fe04c3-da7c-4507-b919-ef5809790c73,Moelis & Company,Subsidiary,Moelis & Company,7016 Alhambra Way,Texas,76147,https://bing.com/quam/graecam/quando/enim/ubi.apk?spe&nihil&earum,2024-10-21 22:57:26,Brucie,Winckles,brucie.winckles@gmail.com,(817) 553-5672,Remote Work,98.36,98.36
68,857d00c9-502f-48ed-9b1a-dbbda7064d85,Genetic Technologies Ltd,Corporation,Genetic Technologies Ltd,2943 Mount Vernon Way,California,93381,https://webmd.com/de/defensa.msh1?cupiditatum,2024-10-21 23:02:38,Aggie,Crummay,aggie.crummay@yahoo.co.uk,(661) 375-9582,Emergency Leave,50.19,50.19
69,01c4ce30-bc14-45ea-bb62-a489002c04b3,Virtus Total Return Fund Inc.,Private,Virtus Total Return Fund Inc.,7961 Milford Avenue,Tennessee,37665,http://walmart.com/sit/sublatum/esse/omne/iudicium/amicitiae.cer?ultimum&nec&extremum&sit&ita,2024-10-21 23:05:23,Emerson,Vooght,emerson.vooght@gmail.com,(423) 792-7808,Early Departure,102.09,102.09
70,c3614f74-00c4-4022-ace9-5fa6b091176a,"Alexion Pharmaceuticals, Inc.",Nonprofit,"Alexion Pharmaceuticals, Inc.",6568 Pacific Lane,North Carolina,28305,https://noaa.gov/haec/scipio.xls?sint&omnia&bene&vivendi,2024-10-21 23:11:09,Cobbie,Cestard,cobbie.cestard@gmail.com,(910) 861-7691,Break,94.27,94.27
71,da1f8b3a-79f9-4c66-be9b-fbc899e891a2,"NextEra Energy, Inc.",Holding,"NextEra Energy, Inc.",4543 San Pedro Drive,Texas,75185,https://comcast.net/non/beatus/multoque/hoc/melius/paratus.sql?ut&summum&ex&rebus&expetendis,2024-10-21 23:16:05,Tomaso,Izaac,tomaso.izaac@aol.com,(972) 076-4353,Overtime End,90.62,90.62
72,21fa0ef1-deff-496a-933e-b2a69ebd95da,CTS Corporation,Cooperative,CTS Corporation,6387 Ola Terrace,Florida,33994,https://uiuc.edu/sed/nisi.bin?propemodum&iustioribus&utamur&illis,2024-10-21 23:19:48,Aldis,Filkin,aldis.filkin@gmx.de,(239) 960-7061,Meeting,86.97,86.97
73,38fcda27-ab68-4e8e-9be1-a3db97323585,Berkshire Hathaway Inc.,Government,Berkshire Hathaway Inc.,6383 Adriana Way,California,94230,https://mapy.cz/erant/illa/torquatis/cursu.bz2?,2024-10-21 23:24:37,Damian,Bigadike,damian.bigadike@yahoo.co.in,(916) 813-1292,Lunch,89.02,89.02
74,8a3a8431-e2a8-4b08-844f-2eb449e73076,"Helix Energy Solutions Group, Inc.",Public,"Helix Energy Solutions Group, Inc.",13803 Tanner Drive,Virginia,23612,https://thetimes.co.uk/venire/vetuit/numquid/tibi/quibus.odf?melius&vivendum&nec&ad,2024-10-21 23:29:26,Nicoline,Binfield,nicoline.binfield@msn.com,(757) 715-8400,Late Arrival,158.08,158.08
75,fbbe6e4d-babf-42b7-8e05-725a9e79b1d0,"Inovalon Holdings, Inc.",Limited Liability,"Inovalon Holdings, Inc.",14030 Gates Lane,Colorado,80241,https://bbb.org/quaeque/in/eo/quod/rebus.xz?quorum&facta&quem,2024-10-21 23:38:42,Brenn,Ficken,brenn.ficken@yahoo.com,(720) 780-1915,Training,127.92,127.92
76,88704f91-65a9-4622-b68d-f0f910062925,NGL ENERGY PARTNERS LP,Joint Venture,NGL ENERGY PARTNERS LP,3893 Sanibel Court,Florida,32627,https://ft.com/sin/ut/nulli.psd1?maiorum&dolorum&effugiendorum,2024-10-21 23:48:07,Nada,Roches,nada.roches@gmail.com,(352) 088-0936,Field Visit,81.26,81.26
77,4ff968e8-a9fe-497e-9580-3211826b9074,"MOCON, Inc.",Startup,"MOCON, Inc.",12943 Altair Path,New Jersey,08638,https://shinystat.com/bona/praeterita/grata/recordatione/renovata/legam.zip?,2024-10-21 23:51:27,Tish,Vicioso,tish.vicioso@gmail.com,(609) 920-4383,Shift Change,131.62,131.62
